what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1323075237013
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1323075237014
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1323075237014
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1323075237015
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1323075237015
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1323075237016
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1323075237016
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1323075237017
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1323075237017
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1323075237018
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1323075237018
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1323075237019
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1323075237019
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1323075237020
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1323075237020
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1323075237021
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1323075237022
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1323075237022
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1323075237022
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1323075237022
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1323075237023
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1323075237023
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1323075237024
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1323075237024
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1323075237025
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1323075237026
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1323075237026
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1323075237027
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1323075237028
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1323075237029
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1323075237030
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1323075237031
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1323075237032
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1323075237032
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1323075237033
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1323075237034
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1323075237034
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1323075237034
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1323075237035
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1323075237035
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1323075237036
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1323075237036
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1323075237037
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1323075237038
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1323075237039
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1323075237039
os,sysinfo,,,"linux",1323075237042
arch,sysinfo,,,"x86",1323075237042
ws,sysinfo,,,"gtk",1323075237043
locale,sysinfo,,,"da_DK",1323075237043
processors,sysinfo,,,"2",1323075237043
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1323075237043
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1323075237043
java.specification.name,sysinfo,,,"Java Platform API Specification",1323075237043
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323075237043
java.specification.version,sysinfo,,,"1.6",1323075237043
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1323075237043
java.version,sysinfo,,,"1.6.0_26",1323075237043
java.vm.info,sysinfo,,,"mixed mode, sharing",1323075237043
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1323075237043
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1323075237043
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323075237043
java.vm.specification.version,sysinfo,,,"1.0",1323075237043
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1323075237043
java.vm.version,sysinfo,,,"20.1-b02",1323075237043
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323075242443
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323075242475
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1323075242496
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323075248479
started,bundle,org.eclipse.team.cvs.ssh2,3.2.300.I20100526-0800,"org.eclipse.team.cvs.ssh2",1323075256161
started,bundle,org.eclipse.jsch.ui,1.1.300.I20100505-1245,"org.eclipse.jsch.ui",1323075342649
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1323075359877
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323075359889
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323075360264
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1323075362121
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1323075362238
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1323075362529
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323075380649
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1323075380768
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323075380956
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323075386639
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323075398122
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1323075401213
started,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1323075410501
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1323075410612
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323075413136
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323075579758
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAutomatically",1323075593308
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323075596060
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1323075597857
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323075597913
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323075598488
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323075617830
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323075618195
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323075648051
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323075670797
